location,year_week,new_cases,positivity_rate,people_vaccinated,cases_norm,positivity_z,vacc_norm,risk_score,risk_level
Australia,2020-10-12/2020-10-18,139.0,0.0005428571428571,,0.0004586238776087945,-0.5164291426218632,,-0.18052088797884772,Low
Australia,2020-10-19/2020-10-25,116.0,0.0004285714285714,,0.0003827364734001451,-0.5170891114278777,,-0.1807898207630571,Low
Australia,2020-10-26/2020-11-01,91.0,0.0003714285714285,,0.0003002501644777,-0.5174190958308853,,-0.180946558458571,Low
Australia,2020-11-02/2020-11-08,62.0,0.0002,,0.00020456604612766375,-0.5184090490399067,,-0.1813408841409035,Low
Australia,2020-11-09/2020-11-15,59.0,0.0001857142857142,,0.00019466768905697035,-0.518491545140659,,-0.18137470695470215,Low
Australia,2020-11-16/2020-11-22,96.0,0.0003571428571428,,0.00031674742626218905,-0.5175015919316369,,-0.1809671834629418,Low
Australia,2020-11-23/2020-11-29,78.0,0.0002571428571428,,0.0002573572838380286,-0.5180790646368998,,-0.1811989939809959,Low
Australia,2020-11-30/2020-12-06,71.0,0.0003,,0.00023426111733974397,-0.517831576334644,,-0.18112392115845552,Low
Australia,2020-12-07/2020-12-13,69.0,0.0003142857142857,,0.00022766221262594837,-0.5177490802338922,,-0.1810983469755493,Low
Australia,2020-12-14/2020-12-20,103.0,0.0005285714285714,,0.0003398435927604736,-0.516511638722615,,-0.180609151756535,Low
Australia,2020-12-21/2020-12-27,168.0,0.0004428571428571,,0.0005543079959588308,-0.517006615327126,,-0.18067516136651465,Low
Australia,2020-12-28/2021-01-03,187.0,0.0004285714285714,,0.0006169975907398891,-0.5170891114278777,,-0.18067269020438723,Low
Australia,2021-01-04/2021-01-10,112.0,0.0002857142857142,,0.00036953866397255384,-0.5179140724353963,,-0.18108515602040243,Low
Australia,2021-01-11/2021-01-17,113.0,0.0002285714285714,,0.00037283811632945167,-0.5182440568384032,,-0.1811990008352764,Low
Australia,2021-01-18/2021-01-24,58.0,0.0002571428571428,,0.00019136823670007255,-0.5180790646368998,,-0.18123198850456487,Low
Australia,2021-01-25/2021-01-31,45.0,0.0002,,0.0001484753560604011,-0.5184090490399067,,-0.18136892948593714,Low
Australia,2021-02-01/2021-02-07,39.0,0.0001571428571428,,0.0001286786419190143,-0.5186565373421625,,-0.1814654487487974,Low
Australia,2021-02-08/2021-02-14,48.0,0.0001,,0.00015837371313109452,-0.5189865217451695,,-0.18156609575424376,Low
Australia,2021-02-15/2021-02-21,28.0,0.0001,20.0,9.238466599313846e-05,-0.5189865217451695,-0.00730781873292788,-0.18050291746787356,Low
Australia,2021-02-22/2021-02-28,44.0,0.0001142857142857,34618.0,0.0001451759037035033,-0.5189040256444177,-0.005735514272042951,-0.180683493882888,Low
Australia,2021-03-01/2021-03-07,67.0,0.0002,86345.0,0.00022106330791215275,-0.5184090490399067,-0.0033847832226125015,-0.18082491802661937,Low
Australia,2021-03-08/2021-03-14,80.0,0.0003,164746.0,0.0002639561885518242,-0.517831576334644,0.00017814648540065742,-0.18113579559565957,Low
Australia,2021-03-15/2021-03-21,79.0,0.0003,262283.0,0.00026065673619492637,-0.517831576334644,0.0046107108012956016,-0.1818023299692223,Low
Australia,2021-03-22/2021-03-28,64.0,0.0002428571428571,505085.0,0.00021116495084145935,-0.5181615607376515,0.015644836118128436,-0.18359768920047656,Low
Australia,2021-03-29/2021-04-04,88.0,0.0002571428571428,762679.0,0.0002903518074070066,-0.5180790646368998,0.027351183169899995,-0.18528517419469642,Low
Australia,2021-04-05/2021-04-11,57.0,0.0002,1029486.0,0.00018806878434317472,-0.5184090490399067,0.03947621456753353,-0.18727056495692576,Low
Australia,2021-04-12/2021-04-18,114.0,0.0003857142857142,1399808.0,0.00037613756868634944,-0.5173365997301336,0.0563054802061204,-0.18932556315212162,Low
Australia,2021-04-19/2021-04-25,147.0,0.0005857142857142,1704743.0,0.00048501949646397697,-0.5161816543196079,0.07016323674638127,-0.190945554775588,Low
Australia,2021-04-26/2021-05-02,160.0,0.0005428571428571,1999899.0,0.0005279123771036484,-0.5164291426218632,0.08357658709775857,-0.19302273179376409,Low
Australia,2021-05-03/2021-05-09,97.0,0.0003428571428571,2368476.0,0.0003200468786190868,-0.5175840880323888,0.10032655129452092,-0.19604339006620466,Low
Australia,2021-05-10/2021-05-16,52.0,0.0002142857142857,2768527.0,0.00017157152255868572,-0.518326552939155,0.11850684992107381,-0.19910453525558594,Low
Australia,2021-05-17/2021-05-23,36.0,0.0001,3168814.0,0.00011878028484832089,-0.5189865217451695,0.13669787355637775,-0.2020905735018418,Low
Australia,2021-05-24/2021-05-30,87.0,0.0001857142857142,3743622.0,0.0002870523550501088,-0.518491545140659,0.16281999571813113,-0.20575151397942523,Low
Australia,2021-05-31/2021-06-06,357.0,0.0001285714285714,4463413.0,0.0011779044914125155,-0.518821529543666,0.19553086340426395,-0.21032821260521642,Low
